timestamp,unix_time,motion_detected,motion_intensity,motion_area,brightness,sensor_type,device_id
2025-12-07T14:58:42.992637,1765119522,1,1.74,3615,147.53,webcam_motion,webcam_001
2025-12-07T14:58:43.092015,1765119523,1,4.92,10200,147.2,webcam_motion,webcam_001
2025-12-07T14:58:43.160080,1765119523,1,0.88,1821,147.26,webcam_motion,webcam_001
2025-12-07T14:58:43.226504,1765119523,0,0.0,0,147.15,webcam_motion,webcam_001
2025-12-07T14:58:43.289831,1765119523,0,0.0,0,146.55,webcam_motion,webcam_001
2025-12-07T14:58:43.352762,1765119523,1,0.25,520,146.15,webcam_motion,webcam_001
2025-12-07T14:58:43.492176,1765119523,1,1.79,3718,146.22,webcam_motion,webcam_001
2025-12-07T14:58:43.558342,1765119523,0,0.0,0,146.39,webcam_motion,webcam_001
2025-12-07T14:58:43.623360,1765119523,0,0.0,0,146.62,webcam_motion,webcam_001
2025-12-07T14:58:43.691531,1765119523,0,0.0,0,146.87,webcam_motion,webcam_001
2025-12-07T14:58:43.758158,1765119523,0,0.0,0,147.16,webcam_motion,webcam_001
2025-12-07T14:58:43.888543,1765119523,0,0.0,0,147.64,webcam_motion,webcam_001
2025-12-07T14:58:43.951182,1765119523,1,0.3,622,147.84,webcam_motion,webcam_001
2025-12-07T14:58:44.016970,1765119524,0,0.0,0,148.13,webcam_motion,webcam_001
2025-12-07T14:58:44.091698,1765119524,0,0.0,0,148.53,webcam_motion,webcam_001
2025-12-07T14:58:44.159082,1765119524,0,0.0,0,148.72,webcam_motion,webcam_001
2025-12-07T14:58:44.289561,1765119524,0,0.0,0,149.12,webcam_motion,webcam_001
2025-12-07T14:58:44.357193,1765119524,0,0.0,0,149.27,webcam_motion,webcam_001
2025-12-07T14:58:44.421336,1765119524,0,0.0,0,149.5,webcam_motion,webcam_001
2025-12-07T14:58:44.488452,1765119524,1,2.19,4547,149.71,webcam_motion,webcam_001
2025-12-07T14:58:44.555709,1765119524,1,3.09,6417,149.96,webcam_motion,webcam_001
2025-12-07T14:58:44.689345,1765119524,1,14.96,31018,150.23,webcam_motion,webcam_001
2025-12-07T14:58:44.756415,1765119524,1,6.37,13203,150.26,webcam_motion,webcam_001
2025-12-07T14:58:44.824569,1765119524,1,8.35,17307,150.15,webcam_motion,webcam_001
2025-12-07T14:58:44.892113,1765119524,1,7.73,16037,150.12,webcam_motion,webcam_001
2025-12-07T14:58:44.957982,1765119524,1,9.06,18778,150.19,webcam_motion,webcam_001
2025-12-07T14:58:45.091942,1765119525,1,33.55,69576,150.51,webcam_motion,webcam_001
2025-12-07T14:58:45.159258,1765119525,1,27.18,56365,151.23,webcam_motion,webcam_001
2025-12-07T14:58:45.223610,1765119525,1,17.38,36047,151.54,webcam_motion,webcam_001
2025-12-07T14:58:45.288131,1765119525,1,21.9,45419,151.86,webcam_motion,webcam_001
2025-12-07T14:58:45.359963,1765119525,1,24.36,50503,152.29,webcam_motion,webcam_001
2025-12-07T14:58:45.507475,1765119525,1,36.63,75947,152.12,webcam_motion,webcam_001
2025-12-07T14:58:45.572872,1765119525,1,10.39,21551,152.05,webcam_motion,webcam_001
2025-12-07T14:58:45.641738,1765119525,1,5.89,12216,151.81,webcam_motion,webcam_001
2025-12-07T14:58:45.704924,1765119525,1,1.19,2461,151.51,webcam_motion,webcam_001
2025-12-07T14:58:45.772218,1765119525,1,0.31,644,151.3,webcam_motion,webcam_001
2025-12-07T14:58:45.876184,1765119525,1,2.51,5212,150.93,webcam_motion,webcam_001
2025-12-07T14:58:45.939055,1765119525,1,1.55,3216,150.75,webcam_motion,webcam_001
2025-12-07T14:58:46.005122,1765119526,1,1.89,3920,150.69,webcam_motion,webcam_001
2025-12-07T14:58:46.073987,1765119526,1,10.08,20896,150.57,webcam_motion,webcam_001
2025-12-07T14:58:46.142583,1765119526,0,0.0,0,150.3,webcam_motion,webcam_001
2025-12-07T14:58:46.276362,1765119526,1,26.56,55080,149.79,webcam_motion,webcam_001
2025-12-07T14:58:46.342069,1765119526,1,19.19,39792,149.17,webcam_motion,webcam_001
2025-12-07T14:58:46.403301,1765119526,1,12.15,25196,149.15,webcam_motion,webcam_001
2025-12-07T14:58:46.472153,1765119526,1,17.6,36497,148.67,webcam_motion,webcam_001
2025-12-07T14:58:46.540515,1765119526,1,6.22,12889,148.65,webcam_motion,webcam_001
2025-12-07T14:58:46.678753,1765119526,1,24.3,50395,148.55,webcam_motion,webcam_001
2025-12-07T14:58:46.741430,1765119526,1,7.06,14638,148.49,webcam_motion,webcam_001
2025-12-07T14:58:46.804120,1765119526,1,0.34,709,148.21,webcam_motion,webcam_001
2025-12-07T14:58:46.874569,1765119526,1,0.34,703,147.89,webcam_motion,webcam_001
2025-12-07T14:58:46.936642,1765119526,1,5.46,11323,147.4,webcam_motion,webcam_001
2025-12-07T14:58:47.039206,1765119527,1,58.5,121296,145.73,webcam_motion,webcam_001
2025-12-07T14:58:47.096511,1765119527,1,48.14,99816,146.54,webcam_motion,webcam_001
2025-12-07T14:58:47.172669,1765119527,1,28.1,58261,146.96,webcam_motion,webcam_001
2025-12-07T14:58:47.235879,1765119527,1,30.68,63623,145.83,webcam_motion,webcam_001
2025-12-07T14:58:47.304004,1765119527,1,21.81,45228,146.3,webcam_motion,webcam_001
2025-12-07T14:58:47.409188,1765119527,1,8.57,17766,146.13,webcam_motion,webcam_001
2025-12-07T14:58:47.470644,1765119527,1,5.23,10840,145.97,webcam_motion,webcam_001
2025-12-07T14:58:47.539044,1765119527,1,4.58,9496,145.93,webcam_motion,webcam_001
2025-12-07T14:58:47.606023,1765119527,1,13.23,27430,145.34,webcam_motion,webcam_001
2025-12-07T14:58:47.670857,1765119527,1,2.59,5376,145.31,webcam_motion,webcam_001
